benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-DS,MaxDiffAreaHistogram,29,3,JoinHashLeft,2875432,182689,2875432.000000,4185.681152,100
TPC-DS,MaxDiffAreaHistogram,29,4,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,29,5,JoinHashLeft,14401261,3776379,14401261.000000,120685.453125,100
TPC-DS,MaxDiffAreaHistogram,29,6,TableScan,73049,365,73049.000000,365.250000,100
TPC-DS,MaxDiffAreaHistogram,29,7,TableScan,73049,366,73049.000000,365.250000,100
TPC-DS,MaxDiffAreaHistogram,29,8,TableScan,73049,365,73049.000000,365.250000,100
TPC-DS,MaxDiffAreaHistogram,31,0,JoinHashLeft,250000,63379,250000.000000,29601.927734,100
TPC-DS,MaxDiffAreaHistogram,31,1,JoinHashLeft,250000,30140,250000.000000,8197.087891,100
TPC-DS,MaxDiffAreaHistogram,31,2,JoinHashLeft,250000,100122,250000.000000,29929.175781,100
TPC-DS,MaxDiffAreaHistogram,31,3,JoinHashLeft,250000,60373,250000.000000,29603.441406,100
TPC-DS,MaxDiffAreaHistogram,31,4,JoinHashLeft,28800991,839034,28800992.000000,30997.416016,100
TPC-DS,MaxDiffAreaHistogram,31,5,JoinHashLeft,250000,16757,250000.000000,8107.954102,100
TPC-DS,MaxDiffAreaHistogram,31,6,JoinHashLeft,250000,17668,250000.000000,8107.447754,100
TPC-DS,MaxDiffAreaHistogram,31,7,JoinHashLeft,7197566,384845,7197566.000000,8199.056641,100
TPC-DS,MaxDiffAreaHistogram,31,8,JoinHashLeft,28800991,1465918,28800992.000000,31340.021484,100
TPC-DS,MaxDiffAreaHistogram,31,9,JoinHashLeft,28800991,790723,28800992.000000,30998.994141,100
TPC-DS,MaxDiffAreaHistogram,31,10,TableScan,65535,366,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,31,11,JoinHashLeft,7197566,208405,7197566.000000,8109.917480,100
TPC-DS,MaxDiffAreaHistogram,31,12,JoinHashLeft,7197566,218552,7197566.000000,8109.408691,100
TPC-DS,MaxDiffAreaHistogram,32,0,JoinHashLeft,14401261,412149,14401261.000000,0.000039,100
TPC-DS,MaxDiffAreaHistogram,32,1,JoinHashLeft,102000,50979,102000.000000,0.000039,100
TPC-DS,MaxDiffAreaHistogram,32,2,TableScan,65535,91,65535.000000,0.000000,100
TPC-DS,MaxDiffAreaHistogram,34,0,JoinHashLeft,500000,1200,500000.000000,221.744720,100
TPC-DS,MaxDiffAreaHistogram,34,1,TableScan,102,31,102.000000,31.000002,100
TPC-DS,MaxDiffAreaHistogram,34,2,JoinHashLeft,28800991,3793832,28800992.000000,4526.469238,100
TPC-DS,MaxDiffAreaHistogram,34,3,TableScan,7200,4800,7200.000000,4800.000000,100
TPC-DS,MaxDiffAreaHistogram,34,4,TableScan,73049,365,73049.000000,365.250000,100
TPC-DS,MaxDiffAreaHistogram,34,5,TableScan,73049,366,73049.000000,365.250000,100
TPC-DS,MaxDiffAreaHistogram,34,6,TableScan,73049,365,73049.000000,365.250000,100
TPC-DS,MaxDiffAreaHistogram,35,0,JoinHashLeft,28800991,3099118,28800992.000000,93335.507812,100
TPC-DS,MaxDiffAreaHistogram,35,1,JoinHashRight,250000,482697,250000.000000,482697.281250,100
TPC-DS,MaxDiffAreaHistogram,35,2,JoinHashRight,500000,482697,500000.000000,482696.687500,100
TPC-DS,MaxDiffAreaHistogram,35,3,JoinHashLeft,7197566,804611,7197566.000000,24418.181641,100
TPC-DS,MaxDiffAreaHistogram,35,4,JoinHashLeft,14401261,1592130,14401261.000000,48625.425781,100
TPC-DS,MaxDiffAreaHistogram,35,5,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,35,6,JoinHashLeft,1920800,426807,1920800.000000,426806.437500,100
TPC-DS,MaxDiffAreaHistogram,35,7,JoinHashRight,500000,426807,500000.000000,426806.437500,100
TPC-DS,MaxDiffAreaHistogram,37,0,JoinHashLeft,14401261,536,14401261.000000,0.007743,100
TPC-DS,MaxDiffAreaHistogram,37,1,JoinHashLeft,133110000,4590000,133110000.000000,0.001124,100
TPC-DS,MaxDiffAreaHistogram,37,2,JoinHashLeft,102000,51000,102000.000000,0.000428,100
